"","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","is_blownout","score_diff"
"45","JAX",23,33,213,1,0,4,35,31,97,21,103,0,35,33,23,213,1,87,1,6,15,58,43,15,"JAX","HOU",0,0,0,0,0,0,212,5,20,7,63,40,2,212,111,1,"JAX","HOU",12,13,"False","retractable roof (closed)","grass",72,45,0,-7,"HOU",43,"2019-09-15",FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1,FALSE,-1
"46","HOU",16,29,159,0,0,4,22,31,70,30,126,1,37,29,16,159,0,104,0,1,29,63,34,29,"HOU","JAX",0,0,0,0,0,0,371,7,16,4,38,88,4,372,35,1,"JAX","HOU",12,13,"False","retractable roof (closed)","grass",72,45,0,-7,"HOU",43,"2019-09-15",FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1
"47","MIA",18,39,186,0,4,7,44,41,57,15,42,0,20,39,18,186,0,115,0,1,14,61,47,14,"MIA","NWE",0,0,0,0,0,0,478,7,13,2,35,7,1,478,61,5,"NWE","MIA",43,0,"False","outdoors","grass",87,67,4,-18,"NWE",48,"2019-09-15",TRUE,-43,TRUE,-43,TRUE,-43,TRUE,-43,TRUE,-43,TRUE,-43
"48","NWE",20,28,264,2,0,2,9,32,124,35,124,2,38,28,20,264,2,135,1,0,35,65,30,35,"NWE","MIA",0,0,0,0,0,0,264,5,8,0,95,29,1,264,91,0,"NWE","MIA",43,0,"False","outdoors","grass",87,67,4,-18,"NWE",48,"2019-09-15",FALSE,43,FALSE,43,FALSE,43,FALSE,43,FALSE,43,FALSE,43
"49","BUF",19,30,253,1,0,3,16,51,101,34,151,3,43,28,19,253,1,146,0,3,31,67,36,31,"BUF","NYG",0,0,0,0,0,0,269,3,14,4,77,74,2,273,89,3,"BUF","NYG",28,14,"False","outdoors","fieldturf ",79,48,5,-1,"BUF",44,"2019-09-15",FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14,FALSE,14
"50","NYG",26,45,250,1,2,1,9,33,62,20,129,1,49,44,26,250,1,139,0,0,20,66,46,20,"NYG","BUF",0,0,0,0,1,0,359,8,15,5,73,56,0,358,89,2,"BUF","NYG",28,14,"False","outdoors","fieldturf ",79,48,5,-1,"BUF",44,"2019-09-15",TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14,TRUE,-14
"51","IND",17,28,146,3,1,3,25,19,95,34,167,0,77,26,17,146,3,90,1,4,30,65,35,30,"IND","TEN",0,0,0,0,0,0,140,3,6,4,41,126,1,125,104,0,"IND","TEN",19,17,"False","outdoors","grass",93,45,1,-3,"TEN",43,"2019-09-15",FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2
"52","TEN",19,28,154,1,0,4,35,25,93,24,124,1,38,26,19,154,1,92,0,3,21,56,35,21,"TEN","IND",0,0,0,0,0,0,136,4,4,1,31,93,1,134,71,2,"IND","TEN",19,17,"False","outdoors","grass",93,45,1,-3,"TEN",43,"2019-09-15",FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2
"53","SEA",29,35,300,3,0,4,26,30,131,33,151,1,78,35,29,300,3,129,2,2,31,72,41,31,"SEA","PIT",0,0,0,1,0,0,256,3,25,2,49,102,0,256,146,0,"SEA","PIT",28,26,"False","outdoors","grass",81,51,3,-4,"PIT",47,"2019-09-15",FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2,FALSE,2
"54","PIT",20,34,187,2,1,1,7,60,159,16,81,1,51,34,20,187,2,104,0,1,15,51,36,15,"PIT","SEA",0,0,0,0,0,0,261,10,10,2,15,66,1,260,96,2,"SEA","PIT",28,26,"False","outdoors","grass",81,51,3,-4,"PIT",47,"2019-09-15",FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2,FALSE,-2
"55","KAN",30,44,443,4,0,2,7,44,131,22,31,0,11,44,30,443,4,177,1,0,22,68,46,22,"KAN","LVR",0,0,0,1,0,2,557,10,7,3,10,21,1,557,138,1,"KAN","LVR",28,10,"False","outdoors","grass",70,61,13,-7,"KAN",53,"2019-09-15",FALSE,18,FALSE,18,FALSE,18,FALSE,18,FALSE,18,FALSE,18
"56","LVR",23,38,198,1,2,3,20,25,61,19,129,0,68,37,23,198,1,97,0,2,17,60,43,17,"LVR","KAN",0,0,0,0,0,0,252,7,10,2,49,80,0,240,119,2,"KAN","LVR",28,10,"False","outdoors","grass",70,61,13,-7,"KAN",53,"2019-09-15",TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18
"57","NOR",20,35,203,0,1,2,16,47,116,20,57,0,20,32,20,203,0,98,0,2,18,57,39,18,"NOR","LAR",0,0,0,0,0,0,251,4,3,6,23,34,1,238,106,2,"NOR","LAR",9,27,"False","outdoors","grass",85,44,4,-2,"LAR",52,"2019-09-15",TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18,TRUE,-18
"58","LAR",19,28,283,1,0,3,18,66,112,30,115,2,51,28,19,283,1,190,1,0,30,61,31,30,"LAR","NOR",0,0,0,0,0,1,200,6,5,4,71,44,2,199,146,2,"NOR","LAR",9,27,"False","outdoors","grass",85,44,4,-2,"LAR",52,"2019-09-15",FALSE,18,FALSE,18,FALSE,18,FALSE,18,FALSE,18,FALSE,18
"59","ARI",25,40,349,0,0,3,20,54,90,11,20,1,13,37,25,349,0,178,0,1,10,54,44,10,"ARI","BAL",2,0,0,1,0,2,312,9,21,3,7,13,0,291,162,1,"ARI","BAL",17,23,"False","outdoors","grass",82,60,8,-13,"BAL",46,"2019-09-15",FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6,FALSE,-6
"60","BAL",24,37,272,2,0,2,14,41,104,33,182,0,43,35,24,272,2,133,0,6,27,72,45,27,"BAL","ARI",0,0,0,0,1,1,396,6,14,3,114,68,4,352,83,1,"ARI","BAL",17,23,"False","outdoors","grass",82,60,8,-13,"BAL",46,"2019-09-15",FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6,FALSE,6
"61","DAL",26,30,269,3,1,1,8,51,123,34,213,1,86,30,26,269,3,146,0,1,33,65,32,33,"DAL","WAS",0,0,0,0,1,0,257,1,5,2,131,82,1,257,95,1,"DAL","WAS",31,21,"False","outdoors","grass",80,46,7,-6,"DAL",46,"2019-09-15",FALSE,10,FALSE,10,FALSE,10,FALSE,10,FALSE,10,FALSE,10
"62","WAS",26,37,221,2,0,1,13,27,103,17,47,1,23,37,26,221,2,105,0,0,17,55,38,17,"WAS","DAL",0,0,0,0,0,0,224,7,4,5,15,32,0,224,102,1,"DAL","WAS",31,21,"False","outdoors","grass",80,46,7,-6,"DAL",46,"2019-09-15",TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10,TRUE,-10
